Mol,mass,RT1_theoretical,RT2_theoretical,RT1_corrected,RT2_corrected,name,cas,match_factor,reverse_match_factor,spec_loc,hit_prob
Methyl stearate C18,87,36.08,0.083,36.0163845757853,0.12583892617449666,"Tetradecanoic acid, 12-methyl-, methyl ester, (S)-",62691-5-8,744,875,61119986,2.86
"Eicosanoic acid, methyl ester C20",87,39.35,0.208,39.471543304666056,0.20973154362416108,"Eicosanoic acid, methyl ester",1120-28-1,809,850,53838910,39.51
"Eicosanoic acid, methyl ester C20",87,39.35,0.208,39.471543304666056,0.20973154362416108,"Tetradecanoic acid, 12-methyl-, methyl ester, (S)-",62691-5-8,730,867,61119986,4.5
"Eicosanoic acid, methyl ester C20",87,39.35,0.208,39.471543304666056,0.20973154362416108,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,729,859,57487734,4.33
"Eicosanoic acid, methyl ester C20",87,39.35,0.208,39.471543304666056,0.20973154362416108,"Octadecanoic acid, 17-methyl-, methyl ester",55124-97-5,725,767,60842102,3.65
"Eicosanoic acid, methyl ester C20",87,39.35,0.208,39.471543304666056,0.20973154362416108,"Nonadecanoic acid, methyl ester",1731-94-8,724,793,56359167,3.51
"Eicosanoic acid, methyl ester C20",87,39.35,0.208,39.471543304666056,0.20973154362416108,"Heptadecanoic acid, methyl ester",1731-92-6,723,807,55518835,3.37
"Docosanoic acid, methyl ester C22",87,42.46,0.399,42.65611731381519,0.39429530201342283,"Docosanoic acid, methyl ester",929-77-1,808,846,60565165,45.8
"Docosanoic acid, methyl ester C22",87,42.46,0.399,42.65611731381519,0.39429530201342283,Methyl 20-methyl-heneicosanoate,---,786,871,62526570,18.1
"Docosanoic acid, methyl ester C22",87,42.46,0.399,42.65611731381519,0.39429530201342283,"Octadecanoic acid, 17-methyl-, methyl ester",55124-97-5,733,780,60842102,3.58
"Docosanoic acid, methyl ester C22",87,42.46,0.399,42.65611731381519,0.39429530201342283,"Tetradecanoic acid, 12-methyl-, methyl ester, (S)-",62691-5-8,724,869,61119986,2.6
"Docosanoic acid, methyl ester C22",87,42.46,0.399,42.65611731381519,0.39429530201342283,"Nonadecanoic acid, methyl ester",1731-94-8,723,808,56359167,2.49
"Docosanoic acid, methyl ester C22",87,42.46,0.399,42.65611731381519,0.39429530201342283,"Heptadecanoic acid, 16-methyl-, methyl ester",5129-61-3,721,781,71790900,2.3
"Tetracosanoic acid, methyl ester C24",87,45.43,0.749,45.61173502165295,0.6963087248322147,"Tetracosanoic acid, methyl ester",2442-49-1,830,895,61398181,66.02
"Tetracosanoic acid, methyl ester C24",87,45.43,0.749,45.61173502165295,0.6963087248322147,"Heneicosanoic acid, 18-propyl-, methyl ester",55334-67-3,724,730,8592644,4.43
"Tetracosanoic acid, methyl ester C24",87,45.43,0.749,45.61173502165295,0.6963087248322147,"Octadecanoic acid, 17-methyl-, methyl ester",55124-97-5,710,767,60842102,2.77
"Tetracosanoic acid, methyl ester C24",87,45.43,0.749,45.61173502165295,0.6963087248322147,"Tetradecanoic acid, 12-methyl-, methyl ester",5129-66-8,700,754,62241353,1.96
"Tetracosanoic acid, methyl ester C24",87,45.43,0.749,45.61173502165295,0.6963087248322147,"Heptadecanoic acid, 16-methyl-, methyl ester",5129-61-3,698,760,71790900,1.8
"Tetracosanoic acid, methyl ester C24",87,45.43,0.749,45.61173502165295,0.6963087248322147,"Hexadecanoic acid, 14-methyl-, methyl ester",2490-49-5,698,747,57204491,1.8
"Hexacosanoic acid, methyl ester C26",87,48.29,0.141,48.08862591765782,0.04194630872483222,"Heptasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13-tetradecamethyl-",19095-23-9,702,760,55223965,48.96
"Hexacosanoic acid, methyl ester C26",87,48.29,0.141,48.08862591765782,0.04194630872483222,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",19095-24-0,686,748,54939763,28.19
"Hexacosanoic acid, methyl ester C26",87,48.29,0.141,48.08862591765782,0.04194630872483222,"Hexasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11-dodecamethyl-",995-82-4,648,709,59159101,6.75
"Hexacosanoic acid, methyl ester C26",87,48.29,0.141,48.08862591765782,0.04194630872483222,"Pentasiloxane, 1,1,3,3,5,5,7,7,9,9-decamethyl-",995-83-5,583,642,63922944,1.08
"Hexacosanoic acid, methyl ester C26",87,48.29,0.141,48.08862591765782,0.04194630872483222,"Arsenous acid, tris(trimethylsilyl) ester",55429-29-3,580,729,70591182,0.96
"Hexacosanoic acid, methyl ester C26",87,48.29,0.141,48.08862591765782,0.04194630872483222,"2-(Pyridin-2-ylformamido)acetic acid, 2TMS",---,578,642,30510155,0.88
"Octacosanoic acid, methyl ester C28",87,51.2,0.924,51.210757299176585,0.8305369127516778,"Cyclotrisiloxane, hexamethyl-",541-5-9,666,878,69464584,27.22
"Octacosanoic acid, methyl ester C28",87,51.2,0.924,51.210757299176585,0.8305369127516778,"Arsenous acid, tris(trimethylsilyl) ester",55429-29-3,653,734,70591182,17.58
"Octacosanoic acid, methyl ester C28",87,51.2,0.924,51.210757299176585,0.8305369127516778,Tris(tert-butyldimethylsilyloxy)arsane,---,619,732,3016266,4.5
"Octacosanoic acid, methyl ester C28",87,51.2,0.924,51.210757299176585,0.8305369127516778,"1,2-Benzisothiazol-3-amine, TBDMS derivative",---,615,643,2731828,3.8
"Octacosanoic acid, methyl ester C28",87,51.2,0.924,51.210757299176585,0.8305369127516778,"Silane, triethyl(2-phenylethoxy)-",14629-62-0,614,654,39451447,3.66
"Octacosanoic acid, methyl ester C28",87,51.2,0.924,51.210757299176585,0.8305369127516778,"1,4-Bis(trimethylsilyl)benzene",13183-70-5,612,657,34706287,3.37
