Mol,mass,RT1_theoretical,RT2_theoretical,RT1_corrected,RT2_corrected,name,cas,match_factor,reverse_match_factor,spec_loc,hit_prob
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.1828859060402686,"Cyclotrisiloxane, hexamethyl-",541-5-9,656,822,69464584,18.65
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.1828859060402686,"Silane, triethyl(2-phenylethoxy)-",14629-62-0,640,687,39451447,10.74
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.1828859060402686,"Arsenous acid, tris(trimethylsilyl) ester",55429-29-3,636,730,70591182,9.07
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.1828859060402686,"1,2-Benzisothiazol-3-amine, TBDMS derivative",---,628,657,2731828,6.76
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.1828859060402686,"2-(p-Tolyl)propan-2-ol, TMS",1403992-16-4,623,647,38332613,5.45
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.1828859060402686,"Thymol, TBDMS derivative",330455-64-6,620,654,34146405,4.82
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Nonanoic acid, methyl ester",1731-84-6,847,870,62810512,43.47
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"7-Methyloctanoic acid, methyl ester",5129-53-3,777,793,64217284,6.32
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,775,824,47709570,5.83
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Octanoic acid, methyl ester",111-11-5,771,802,53560689,4.92
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"3-Propylhexanoic acid, methyl ester",73999-15-2,769,796,1375552,4.54
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"5-Methyloctanoic acid, methyl ester",15870-8-3,764,781,70372714,3.66
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Decanoic acid, methyl ester",110-42-9,827,862,64774616,54.1
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,Methyl 8-methyl-nonanoate,---,798,828,55797097,15.33
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,771,836,47709570,4.51
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Undecanoic acid, 2-methyl-",24323-25-9,762,848,51602293,3.27
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Nonanoic acid, methyl ester",1731-84-6,750,804,62810512,2.18
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Dodecanoic acid, methyl ester",111-82-0,749,796,52448503,2.09
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Dodecanoic acid, methyl ester",111-82-0,871,898,52448503,67.05
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Undecanoic acid, 10-methyl-, methyl ester",5129-56-6,823,849,68415097,13.9
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Dodecanoic acid, 2-methyl-",2874-74-0,800,912,50754114,5.07
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Tridecanoic acid, methyl ester",1731-88-0,775,815,54400046,1.54
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,774,848,47709570,1.48
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,769,809,57487734,1.19
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,Methyl tetradecanoate,124-10-7,833,862,65896244,34.16
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,"Tridecanoic acid, 12-methyl-, methyl ester",5129-58-8,824,848,56639651,24.8
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,"Tetradecanoic acid, 12-methyl-, methyl ester, (S)-",62691-5-8,778,866,61119986,5.23
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,775,855,47709570,4.62
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,2-Methylpentadecanoic acid,25354-92-1,772,823,58330888,4.08
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,768,818,57487734,3.45
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Hexadecanoic acid, methyl ester",112-39-0,859,880,53281898,36.51
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,853,892,57487734,28.7
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Pentadecanoic acid, methyl ester",7132-64-1,785,839,59729180,4.35
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Tridecanoic acid, methyl ester",1731-88-0,772,843,54400046,2.81
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Tetradecanoic acid, 12-methyl-, methyl ester",5129-66-8,769,790,62241353,2.48
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,Methyl tetradecanoate,124-10-7,768,838,65896244,2.38
Methyl stearate C18,87,36.08,0.083,36.0163845757853,0.12583892617449666,"Heptadecanoic acid, 16-methyl-, methyl ester",5129-61-3,811,833,71790900,29.96
Methyl stearate C18,87,36.08,0.083,36.0163845757853,0.12583892617449666,Methyl stearate,112-61-8,800,851,60287013,20.55
Methyl stearate C18,87,36.08,0.083,36.0163845757853,0.12583892617449666,"Heptadecanoic acid, 10-methyl-, methyl ester",2490-25-7,787,796,58053798,13.27
Methyl stearate C18,87,36.08,0.083,36.0163845757853,0.12583892617449666,2-Methyloctadecanoic acid,7217-83-6,768,825,58610434,6.44
Methyl stearate C18,87,36.08,0.083,36.0163845757853,0.12583892617449666,"Heptadecanoic acid, 15-methyl-, methyl ester",54833-55-5,756,768,3642864,4.29
