Mol,mass,RT1_theoretical,RT2_theoretical,RT1_corrected,RT2_corrected,name,cas,match_factor,reverse_match_factor,spec_loc,hit_prob
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1828859060402686,"Cyclotrisiloxane, hexamethyl-",541-5-9,652,829,69464584,21.66
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1828859060402686,"1,2-Benzisothiazol-3-amine, TBDMS derivative",---,629,657,2731828,7.91
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1828859060402686,"Arsenous acid, tris(trimethylsilyl) ester",55429-29-3,628,729,70591182,7.6
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1828859060402686,"Silane, triethyl(2-phenylethoxy)-",14629-62-0,628,675,39451447,7.6
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1828859060402686,"Thymol, TBDMS derivative",330455-64-6,613,646,34146405,4.6
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1828859060402686,"1,4-Bis(trimethylsilyl)benzene",13183-70-5,607,659,34706287,3.62
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Nonanoic acid, methyl ester",1731-84-6,833,860,62810512,41.51
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,772,824,47709570,7.23
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"7-Methyloctanoic acid, methyl ester",5129-53-3,768,787,64217284,6.1
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Octanoic acid, methyl ester",111-11-5,763,798,53560689,4.92
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"3-Propylhexanoic acid, methyl ester",73999-15-2,758,789,1375552,3.96
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Undecanoic acid, 2-methyl-",24323-25-9,754,830,51602293,3.35
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Decanoic acid, methyl ester",110-42-9,829,858,64774616,51.99
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,Methyl 8-methyl-nonanoate,---,804,829,55797097,15.85
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,780,840,47709570,5.31
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Undecanoic acid, 2-methyl-",24323-25-9,767,850,51602293,3.43
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Nonanoic acid, methyl ester",1731-84-6,759,809,62810512,2.56
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Dodecanoic acid, methyl ester",111-82-0,755,797,52448503,2.16
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.590301677340655,0.0587248322147651,"Dodecanoic acid, methyl ester",111-82-0,860,893,52448503,62.73
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.590301677340655,0.0587248322147651,"Undecanoic acid, 10-methyl-, methyl ester",5129-56-6,819,851,68415097,14.31
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.590301677340655,0.0587248322147651,"Dodecanoic acid, 2-methyl-",2874-74-0,786,907,50754114,3.74
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.590301677340655,0.0587248322147651,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,780,860,47709570,2.94
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.590301677340655,0.0587248322147651,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,765,809,57487734,1.78
