Mol,mass,RT1_theoretical,RT2_theoretical,RT1_corrected,RT2_corrected,name,cas,match_factor,reverse_match_factor,spec_loc,hit_prob
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.28726811832876,1.1996644295302012,"Cyclotrisiloxane, hexamethyl-",541-5-9,654,821,69464584,16.39
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.28726811832876,1.1996644295302012,"Silane, triethyl(2-phenylethoxy)-",14629-62-0,647,695,39451447,12.56
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.28726811832876,1.1996644295302012,"Arsenous acid, tris(trimethylsilyl) ester",55429-29-3,635,730,70591182,8.36
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.28726811832876,1.1996644295302012,"1,2-Benzisothiazol-3-amine, TBDMS derivative",---,634,662,2731828,8.04
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.28726811832876,1.1996644295302012,"2-(p-Tolyl)propan-2-ol, TMS",1403992-16-4,624,648,38332613,5.67
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.28726811832876,1.1996644295302012,"Thymol, TBDMS derivative",330455-64-6,620,654,34146405,4.79
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"Nonanoic acid, methyl ester",1731-84-6,845,869,62810512,42.67
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,773,823,47709570,5.94
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"7-Methyloctanoic acid, methyl ester",5129-53-3,773,790,64217284,5.94
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"3-Propylhexanoic acid, methyl ester",73999-15-2,764,792,1375552,4.31
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"Decanoic acid, methyl ester",110-42-9,761,801,64774616,3.81
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.08389261744966443,"Undecanoic acid, 2-methyl-",24323-25-9,760,830,51602293,3.66
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Decanoic acid, methyl ester",110-42-9,832,865,64774616,54.23
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,Methyl 8-methyl-nonanoate,---,806,833,55797097,16.25
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,771,834,47709570,4.07
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Undecanoic acid, 2-methyl-",24323-25-9,767,850,51602293,3.44
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Nonanoic acid, methyl ester",1731-84-6,760,813,62810512,2.63
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.08389261744966443,"Dodecanoic acid, methyl ester",111-82-0,755,800,52448503,2.12
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Dodecanoic acid, methyl ester",111-82-0,873,900,52448503,63.54
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Undecanoic acid, 10-methyl-, methyl ester",5129-56-6,819,846,68415097,12.44
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Dodecanoic acid, 2-methyl-",2874-74-0,801,911,50754114,6.41
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Tridecanoic acid, methyl ester",1731-88-0,772,813,54400046,1.81
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,766,807,57487734,1.42
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,764,837,47709570,1.31
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.04194630872483222,Methyl tetradecanoate,124-10-7,843,873,65896244,37.14
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.04194630872483222,"Tridecanoic acid, 12-methyl-, methyl ester",5129-58-8,832,858,56639651,25.48
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.04194630872483222,"Tetradecanoic acid, 12-methyl-, methyl ester, (S)-",62691-5-8,784,870,61119986,5.28
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.04194630872483222,2-Methylpentadecanoic acid,25354-92-1,779,832,58330888,4.25
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.04194630872483222,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,775,826,57487734,3.59
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.04194630872483222,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,772,854,47709570,3.17
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Hexadecanoic acid, methyl ester",112-39-0,863,885,53281898,39.37
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,851,890,57487734,26.22
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Pentadecanoic acid, methyl ester",7132-64-1,786,841,59729180,4.22
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,Methyl tetradecanoate,124-10-7,771,840,65896244,2.55
