Mol,mass,RT1_theoretical,RT2_theoretical,RT1_corrected,RT2_corrected,name,cas,match_factor,reverse_match_factor,spec_loc,hit_prob
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1661073825503356,"Cyclotrisiloxane, hexamethyl-",541-5-9,653,820,69464584,17.54
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1661073825503356,"Silane, triethyl(2-phenylethoxy)-",14629-62-0,640,687,39451447,11.33
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1661073825503356,"Arsenous acid, tris(trimethylsilyl) ester",55429-29-3,635,730,70591182,9.13
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1661073825503356,"1,2-Benzisothiazol-3-amine, TBDMS derivative",---,627,655,2731828,6.81
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1661073825503356,"Thymol, TBDMS derivative",330455-64-6,623,656,34146405,5.75
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.308082327538882,1.1661073825503356,"2-(p-Tolyl)propan-2-ol, TMS",1403992-16-4,620,644,38332613,5.08
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Nonanoic acid, methyl ester",1731-84-6,838,863,62810512,42.8
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,777,827,47709570,7.45
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"7-Methyloctanoic acid, methyl ester",5129-53-3,768,785,64217284,5.41
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"3-Propylhexanoic acid, methyl ester",73999-15-2,764,793,1375552,4.57
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Undecanoic acid, 2-methyl-",24323-25-9,757,830,51602293,3.5
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.07550335570469799,"Decanoic acid, methyl ester",110-42-9,757,797,64774616,3.5
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Decanoic acid, methyl ester",110-42-9,828,860,64774616,54.18
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,Methyl 8-methyl-nonanoate,---,800,827,55797097,15.64
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,775,837,47709570,4.77
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Undecanoic acid, 2-methyl-",24323-25-9,764,848,51602293,3.27
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Nonanoic acid, methyl ester",1731-84-6,758,809,62810512,2.57
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Dodecanoic acid, methyl ester",111-82-0,751,796,52448503,1.97
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Dodecanoic acid, methyl ester",111-82-0,861,891,52448503,60.83
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Undecanoic acid, 10-methyl-, methyl ester",5129-56-6,826,855,68415097,15.27
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Dodecanoic acid, 2-methyl-",2874-74-0,790,908,50754114,3.77
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,782,859,47709570,2.81
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,768,810,57487734,1.76
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.0587248322147651,"Undecanoic acid, 2-methyl-",24323-25-9,760,851,51602293,1.31
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,Methyl tetradecanoate,124-10-7,830,859,65896244,32.11
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,"Tridecanoic acid, 12-methyl-, methyl ester",5129-58-8,824,849,56639651,25.24
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,779,859,47709570,5.37
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,"Tetradecanoic acid, 12-methyl-, methyl ester, (S)-",62691-5-8,778,867,61119986,5.16
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,772,824,57487734,4.06
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,2-Methylpentadecanoic acid,25354-92-1,771,822,58330888,3.9
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Hexadecanoic acid, methyl ester",112-39-0,854,875,53281898,35.5
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,849,889,57487734,28.61
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Pentadecanoic acid, methyl ester",7132-64-1,781,834,59729180,4.34
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,"Tridecanoic acid, methyl ester",1731-88-0,767,837,54400046,2.71
"Hexadecanoic acid, methyl ester C16",87,32.22,0.042,32.26982691796279,0.07550335570469799,Methyl tetradecanoate,124-10-7,763,831,65896244,2.29
