Mol,mass,RT1_theoretical,RT2_theoretical,RT1_corrected,RT2_corrected,name,cas,match_factor,reverse_match_factor,spec_loc,hit_prob
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.2248322147651007,"Cyclotrisiloxane, hexamethyl-",541-5-9,651,826,69464584,22.74
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.2248322147651007,"Arsenous acid, tris(trimethylsilyl) ester",55429-29-3,630,733,70591182,9.67
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.2248322147651007,"Silane, triethyl(2-phenylethoxy)-",14629-62-0,629,677,39451447,9.3
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.2248322147651007,"1,2-Benzisothiazol-3-amine, TBDMS derivative",---,628,656,2731828,8.94
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.2248322147651007,"Thymol, TBDMS derivative",330455-64-6,607,641,34146405,3.8
"Octanoic acid, methyl esther C8",87,13.1,1.231,13.349710745959133,1.2248322147651007,"2-(p-Tolyl)propan-2-ol, TMS",1403992-16-4,605,629,38332613,3.5
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.06711409395973154,"Nonanoic acid, methyl ester",1731-84-6,825,853,62810512,39.46
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.06711409395973154,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,776,829,47709570,8.1
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.06711409395973154,"7-Methyloctanoic acid, methyl ester",5129-53-3,764,784,64217284,5.39
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.06711409395973154,"3-Propylhexanoic acid, methyl ester",73999-15-2,752,783,1375552,3.59
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.06711409395973154,"5-Methyloctanoic acid, methyl ester",15870-8-3,751,772,70372714,3.45
"Nonanoic acid, methyl esther C9",87,15.59,0.017,15.88904426959439,0.06711409395973154,"Undecanoic acid, 2-methyl-",24323-25-9,750,826,51602293,3.32
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Decanoic acid, methyl ester",110-42-9,824,858,64774616,49.23
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,Methyl 8-methyl-nonanoate,---,794,822,55797097,13.68
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,786,850,47709570,10.21
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Undecanoic acid, 2-methyl-",24323-25-9,758,845,51602293,2.94
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Dodecanoic acid, methyl ester",111-82-0,747,792,52448503,2.02
"Decanoic acid, methyl ester C10",87,18.41,0.025,18.57407725770052,0.07550335570469799,"Nonanoic acid, methyl ester",1731-84-6,745,797,62810512,1.86
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Dodecanoic acid, methyl ester",111-82-0,850,886,52448503,59.76
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Undecanoic acid, 10-methyl-, methyl ester",5129-56-6,821,854,68415097,16.93
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Cyclopentaneundecanoic acid, methyl ester",25779-85-5,779,862,47709570,3.8
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Dodecanoic acid, 2-methyl-",2874-74-0,778,904,50754114,3.65
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Pentadecanoic acid, 14-methyl-, methyl ester",5129-60-2,757,802,57487734,1.55
"Dodecanoic acid, methyl ester C12",87,23.43,0.008,23.611115886550774,0.050335570469798654,"Tridecanoic acid, methyl ester",1731-88-0,751,795,54400046,1.22
Methyl tetradecanoate C14,87,28.15,0.008,28.148613494358038,0.050335570469798654,Methyl tetradecanoate,124-10-7,832,866,65896244,35.29
