Mol,mass,RT1_theoretical,RT2_theoretical,RT1_corrected,RT2_corrected,spectrum
Alanine-d4,120,12.37,0.266,12.537956586764258,0.28523489932885904,"[0.0, 384082.4075627622, 107836.90999935564, 39381.559791213105, 50888.16227205432, 398516.704858647, 99162.08211434608, 22584.979207714943, 70214.885706434, 40021.2147997974, 25366.79713920652, 47118.43824631959, 33433.39474502283, 36059.635662254004, 14535.66015677184, 8199.620289144616, 13072.82362047628, 27885.108778443173, 34834.61298865772, 177919.64020088312, 33628.11431939627, 25547.765376868418, 17324.232970708228, 7754.395656303374, 11420.074797580095, 7839.25876609312, 5382.23407086572, 11577.793584947107, 7230.233829666512, 4489.706514404825, 83997.05370628375, 7338.505863171556, 3529.3351144294625, 6758.505382403711, 170531.07857162628, 30098.920961380005, 218595.08947986292, 38169.0684428273, 121881.07074970093, 50124.07877806817, 42733.25327984642, 5534.208906131631, 9005.916352117372, 4923.739114105466, 10122.03408879433, 2698.76429221775, 6354.033024147212, 3552.673660837147, 8135.158779579815, 10362.907369313458, 14812.261741883596, 11009.683382216585, 6445.065499078891, 4744.441708599963, 4111.957069447029, 2583.946741551992, 4277.230508804389, 46355.445733740635, 17013.36615959379, 3168.9009066601484, 1808.932956485269, 3047.2980577455305, 4981.202534198365, 4759.891564691588, 21156.57666080379, 13143.274097903013, 8016.087918677788, 4229.908186812582, 2288.373269314867, 2943.079333974846, 2345.5081330074836, 2048.947517357539, 1286.335235178296, 1527.3103897938095, 1282.1572586295338, 924.8455115525866, 7767.598376657774, 2867.123376649779, 7142.046040244755, 4813.610064579411, 23091.559833903895, 229348.37416173788, 24740.984059372135, 8732.249908253481, 1177.6970617484558, 785.3333434174668, 1300.3719455189164, 10050.78207245741, 20582.628799065435, 2537.848717685343, 1116.8674376253798, 4982.450046632112, 6304.226267794043, 6443.529096993685, 33488.076754870475, 9254.440775496132, 5334.893804009681, 1551.9149554862947, 0.0, 0.0, 783.1019809483626, 0.0, 1047.639281299349, 807.2073797320609, 1020.8357839361992, 465.0789336100486, 1668.2714521588364, 7198.321637122086, 48331.123920529644, 9369.38677875087, 7772.5388786997255, 2416.644682893174, 1809.1322401358161, 863.0865182347553, 0.0, 366.4317398405758, 0.0, 0.0, 483.80056991036435, 321.80633353437815, 805.7364502732523, 483.9138432238574, 4907.523651649945, 1379.4894307808445, 6417.465074491988, 1681.2266550932886, 3633.389918920796, 991.690072303273, 718.5660305543757, 566.8722609688839, 370.2389326434944, 641.6133927453892, 0.0, 809.6265480807277, 0.0, 3070.6420014398077, 1715.2031360390015, 3158.530426711201, 13918.994480240226, 3499.7272933556214, 3494.684927127304, 0.0, 1331.3797134241736, 0.0, 0.0, 721.0348567592941, 0.0, 0.0, 606.7439068410644, 0.0, 1889.9456191263278, 739.5320261897921, 39264.00599960056, 9112.019660159516, 24975.449343555007, 13975.338342015644, 4797.754158309614, 1442.595598293687, 582.5754429430983, 559.7873301434338, 574.6383254653571, 3630.0181148017195, 745.2374724368337, 860.1043872108171, 680.7917630643519, 0.0, 1497.0827663268835, 3866.811311799471, 268797.3412069266, 56444.270831468275, 32914.70805250915, 4843.848410503713, 1404.4050656963873, 0.0, 0.0, 0.0, 542.8269909134024, 0.0, 0.0, 0.0, 778.6815578612706, 0.0, 728.3806330060241, 4036.285829406728, 982.067953634959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 460.4586936702674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1530.0613251412085, 644.47297997121, 1771.389994422216, 437.0821241019855, 569.2733077049808, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2893.9477524740846, 947.1220548920091, 2624.377700630055, 518.1951661743694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21805.48550199886, 5787.759079132498, 3409.295550587456, 774.3181551512008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 414.4593301566728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Valine-d8,152,15.46,0.266,15.680902177493138,0.3104026845637584,"[41486.02862031394, 379030.00384716166, 90320.6247747105, 38392.34478556794, 37652.10230885122, 378357.20931824885, 78303.88128699467, 45426.643387485856, 46021.08458056712, 24066.15498242587, 17267.195913587133, 42545.233173780805, 21662.49310516104, 26918.33030877478, 11178.399873919783, 5076.169099885883, 8544.893692848833, 16091.747327704605, 18445.73284435048, 70340.08296919613, 23544.11947184799, 20182.88652539773, 19233.19189036554, 11184.420490613848, 9217.636807755187, 7423.713293513295, 4969.927278743683, 7216.242719479827, 4642.579482471925, 2796.2315362998643, 40819.673847075996, 4427.754074833727, 3662.7953893595372, 6198.919959353486, 165818.99032827248, 34719.25137312065, 152651.85119272952, 29374.82663354916, 77297.06272761925, 30188.731708419626, 27107.20599195713, 13612.803195697074, 6568.9136793524, 4799.442826817535, 2178.7424128838593, 3151.262823361606, 2935.5926441204774, 2040.3246004907583, 7503.429233595558, 7184.98504937613, 12782.256363879636, 4644.790528715202, 4998.3322482082585, 6615.249909652456, 4692.063833353184, 3004.704838148931, 2284.0045055102296, 41322.1563968259, 15600.561601465302, 3330.4585366022734, 1653.5452289104117, 2752.718976859661, 16009.669547820651, 5269.113563503127, 15234.61802776425, 4382.532826778864, 5633.81001002655, 3927.8332026792705, 1812.6597223853064, 1100.05924498177, 1598.1619748297803, 1780.0040256564025, 926.6323632957642, 739.9692256819347, 1271.3183206827891, 725.9710111869144, 7083.881365856976, 2353.0461590421305, 6909.339976827126, 3538.975713828485, 14111.26497805332, 3163.441084074983, 2473.5027919050463, 1337.2801781203443, 0.0, 0.0, 1861.3314542548576, 4262.28996616816, 6999.222143551285, 893.6644095506849, 871.3178118239464, 2088.250413889163, 5899.022875368385, 6370.8923192805, 31427.89212231128, 8693.89963529113, 6385.093383733567, 4407.899070726353, 2379.8577900736573, 1186.6903875973105, 0.0, 482.4889375199343, 521.300604063545, 0.0, 724.9527088154524, 0.0, 1343.9368049083741, 3499.5226964821004, 37968.90469126196, 7765.277563295086, 7037.526283180423, 3082.33877783339, 6516.439364196323, 228928.72577651122, 29866.53519355608, 8715.346441008345, 1518.034000752233, 0.0, 0.0, 466.56385924095304, 997.6546840159577, 773.9055983826898, 4548.861250598519, 1982.4871131320665, 7664.525798679836, 4155.380911305146, 3884.2263472346503, 2079.51315943458, 2131.4773254292027, 523.3498831407088, 0.0, 486.7062953498955, 0.0, 0.0, 0.0, 441.53770052307283, 1287.0753490449256, 2776.4554141541694, 14501.778410041385, 3272.187712844501, 3272.0110907731064, 0.0, 3172.52318905338, 1427.8079364805326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1537.882481605391, 992.7230971680252, 40401.27923655018, 8297.488630988511, 23499.374546691124, 4802.5120539522195, 2638.6886899118517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 847.6614111084455, 937.6525957292436, 1728.5202331855626, 3651.833757767256, 267932.5823401719, 54079.655101157376, 32347.01105907843, 4166.855334659858, 1441.2417695924125, 0.0, 0.0, 0.0, 0.0, 470.08358235395866, 0.0, 0.0, 20439.52751001039, 4124.286630267826, 2149.389108939003, 0.0, 0.0, 0.0, 320.1268452465473, 10379.932215441237, 3208.7469121754243, 912.9312288481883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1035.8771010236146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1870.2491440865606, 531.1262705389818, 2062.6592741163395, 0.0, 482.2638230445907, 3631.940169625291, 678.3911903068466, 387.9464281020147, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3329.5732538572875, 927.9918263997696, 2358.349833845068, 576.82481117189, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20952.229170341714, 5067.293391431693, 3773.136127623832, 653.9406350389869, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Nicotinic acid-d4,184,17.54,0.907,17.824765726136015,0.9563758389261745,"[0.0, 376568.84947343956, 108383.29211601548, 31788.479123710407, 57552.63201897492, 402500.53549380833, 88242.47127409847, 35947.023490809894, 35802.713724054294, 33501.96410525466, 18443.242861993498, 25735.375851864097, 22029.321939861293, 62951.52594753272, 18777.106356073138, 169608.49652678552, 21220.966803529882, 17119.190518984014, 15343.499724634079, 34486.66362743911, 21269.94648885207, 9171.229663352407, 13492.61446254683, 6317.364569555065, 7409.152393987673, 7473.696517993971, 4276.278652191348, 7384.553741633568, 4942.74914390002, 6101.196030649434, 21813.005078103506, 7491.871707584204, 5412.739479527586, 9280.195214899148, 56589.27605221545, 13680.093483314507, 97534.93066632868, 39497.69915028793, 64306.05956265972, 30641.949041958305, 22475.118850148727, 13904.730856895478, 18767.910902196818, 319061.257427065, 24078.32189044514, 6232.4504305163655, 3182.290712214303, 2009.4947966646641, 5143.421260390662, 6073.215161760041, 10232.572519640511, 3495.917190503337, 4991.729700865467, 26937.993304323136, 8401.167105237284, 3432.2570029958642, 3354.712183260242, 44448.96079389577, 18207.89468276433, 4285.893343458866, 1233.2966721130824, 1582.4622260378942, 1117.7671290263768, 2958.777123337053, 9188.714372013665, 3711.7387975797274, 4800.629979501864, 1942.140797753213, 1768.2663871673376, 8351.268217125302, 11802.56939933558, 284322.6338919116, 22850.904972168188, 4539.492221792799, 2713.511664523097, 0.0, 7304.058541744872, 2831.3169872582844, 3819.390562318795, 2052.0102998601774, 10283.085610436903, 2022.0473391574778, 2420.818306699292, 2662.90067533909, 3584.197615146822, 3800.7745038352537, 2576.8810892781366, 8489.426785457526, 8418.139058219569, 1720.4044762922254, 1051.3413621586085, 1063.1887688914053, 2310.4444527461983, 2656.426649714259, 29316.873811693433, 5144.3613452450645, 3935.855820739719, 1325.4545147150138, 1686.6318502684817, 1142.4101922046318, 10776.958740960801, 274861.9827196285, 35588.86302137746, 12079.934843135707, 0.0, 10343.716210347782, 2125.716430308762, 3248.878703810558, 7401.075560418929, 1850.8175243093176, 3681.44591364066, 834.7566156838686, 1095.2667356545994, 0.0, 706.3269603312436, 2239.041033506194, 1071.114911805171, 1038.3297982902066, 0.0, 0.0, 0.0, 0.0, 4625.954427629981, 1450.4669810216724, 7284.350785161914, 1928.751361187943, 4026.992516061677, 1931.3025871671027, 1529.7208945836594, 1223.3223790811765, 995.4408008389528, 1028.4840153052987, 801.9607254129062, 0.0, 0.0, 0.0, 800.0458949039444, 2402.087641113038, 14033.703412536686, 3001.724606313276, 3801.83266576514, 1065.624637085871, 1900.2879551377898, 1053.3033037509983, 17259.00654842955, 521189.697281168, 71505.64167407203, 28609.57140666233, 2671.388374279294, 529.6009168309535, 1733.9587665861497, 895.2499102080587, 40878.97905345145, 8425.737343928033, 22389.841802428942, 4798.79475253849, 2805.347334617695, 1259.8166235845051, 2123.436070661322, 1830.5524269618165, 20293.293230400388, 2971.8949647312056, 1058.5063422407466, 0.0, 438.1659862734921, 0.0, 1492.001624598239, 4006.323740733044, 266774.7271529746, 54557.431194059165, 32740.93321727972, 4726.181181844502, 1538.120029139853, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 476.4402882367785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 432.060557108041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1500.8551826345324, 434.6112629844065, 1595.7388044132522, 0.0, 687.3264939280181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3338.7325221294873, 870.3857377360098, 2554.7330458134475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20435.073705836017, 5995.78276968482, 3532.159419706646, 670.5478310250086, 383.4534478238533, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Salycilic acid-d4,271,23.34,0.341,23.465416422079905,0.41946308724832215,"[36275.792891969286, 378895.28598876117, 108879.33785728496, 19695.534400431552, 28587.621185357973, 389694.55396485, 43643.24421381812, 9645.164033841025, 22773.696099904384, 7994.7167638372575, 10973.820599794424, 19776.75705836355, 15548.739127316032, 17841.278455858035, 8383.417131863036, 4170.750800092122, 6029.031792919841, 9399.63012174298, 8962.830907175248, 20273.99426280321, 9170.17892867783, 3193.935119885928, 8234.197499168095, 2353.510931008021, 5640.459868997248, 5534.743393536077, 3236.25663181016, 4033.794784655284, 3412.925638943228, 3678.5854477129915, 16281.055773705712, 2664.993766454121, 1871.805818777403, 2166.4170976248147, 80115.34270981823, 12387.14539859127, 69095.27861654099, 10622.05525690709, 38388.514088372605, 18945.71084970239, 16165.149714887057, 4087.954101939981, 7665.505127100782, 4070.894894048336, 1602.0264462757532, 952.6162490665395, 1730.7633945124942, 946.7806690938395, 4936.042893648565, 4284.683032879626, 7742.584680021392, 1880.7585510468211, 3868.99292739815, 2826.631129046015, 3506.201723450536, 3417.6904430997306, 5780.958036329102, 42086.62212990935, 14592.991025298918, 2052.107184186032, 716.4036912039844, 711.8233427195605, 822.3007022564611, 2000.7010563601284, 9692.947482004245, 3937.977477067258, 4198.539940410769, 2112.1809339892916, 1225.681046648152, 1311.2612168063351, 1471.9055160900111, 1831.552675171966, 937.081173384771, 0.0, 770.4323593854559, 343.8648565983661, 7035.699451563961, 1291.3773283992437, 4764.3529643722595, 2964.8975097876523, 10220.89329746906, 1902.3860886947014, 1651.7145967701163, 1298.8687907193735, 708.5960959083185, 1367.1479246745448, 1880.579380042791, 1448.8206098129997, 2398.7440479147276, 1914.2085797555042, 1582.1160884179533, 1008.4530533817737, 2665.7465847370213, 1957.832370727824, 31018.626919336177, 5131.627139371567, 3715.421587818646, 878.5142367626689, 1041.8182520535972, 1008.9949951308521, 7583.7853440226645, 1468.7456872295966, 1363.1530258259043, 628.7564839860883, 642.8541363471755, 0.0, 767.6308702381191, 1775.4602953233757, 12452.424278110977, 2683.323033055279, 6392.727452556233, 1623.3133611728028, 1456.70042920149, 1406.8077311436293, 1666.1686895342104, 763.7364977347455, 1342.8630386466275, 848.7691479560351, 688.1245139227018, 0.0, 626.8256652807017, 0.0, 4345.473824442792, 1482.611181923011, 8305.357010945903, 1482.1750839879985, 3797.3524110339617, 1322.4566054317281, 963.4236374774581, 873.5581847018359, 869.5656798257746, 552.0711499115208, 0.0, 0.0, 0.0, 0.0, 716.6272862207766, 2395.939896537132, 14131.451974995365, 3203.055275175432, 4723.987082899247, 1340.1208330432603, 4248.215168663252, 0.0, 1939.2447776639617, 887.2801426494076, 1070.8206862938296, 0.0, 0.0, 0.0, 1471.3526132255688, 783.7836912540866, 39624.286579533145, 8092.470843118053, 22172.79776037146, 4651.572691955239, 2611.5813902545765, 0.0, 3534.783930954905, 1548.9726096772183, 1211.6811611523074, 495.02774501417053, 0.0, 0.0, 758.5135701604374, 0.0, 1471.2306051021321, 3742.363602904602, 264306.64794676984, 55810.32039390011, 31198.66482352723, 4258.725375372086, 1593.0981569390158, 703.6734969611888, 2798.179203534626, 1109.206696194147, 612.3784855030146, 447.29931162070335, 0.0, 0.0, 568.029059007503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 877.3689625920968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1932.4015445006896, 585.8886125683875, 1874.254538983807, 510.6530003694382, 1809.8558611026585, 730.4577734088073, 1560.2281355818768, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2860.1991846586184, 902.1107502276831, 2342.8738575162074, 1103.8805170665719, 813.6316293643049, 2041.8761647960423, 38862.381584061695, 8874.80693645023, 3407.0385342771174, 587.8533426319341, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21249.70388491816, 5553.737808748185, 3058.897000269403, 452.0024154879906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
